timestamp,total
"20180605_0715",616
"20180605_0716",643
"20180605_0717",651
"20180605_0718",668
"20180605_0719",670
"20180605_0720",666
"20180605_0721",703
"20180605_0722",706
"20180605_0723",748
"20180605_0724",710
"20180605_0725",742
"20180605_0726",706
"20180605_0727",748
"20180605_0728",713
"20180605_0729",772
"20180605_0730",755
"20180605_0731",777
"20180605_0732",787
"20180605_0733",870
"20180605_0734",776
"20180605_0735",808
"20180605_0736",791
"20180605_0737",835
"20180605_0738",865
"20180605_0739",857
"20180605_0740",895
"20180605_0741",902
"20180605_0742",885
"20180605_0743",840
"20180605_0744",924
"20180605_0745",926
"20180605_0746",925
"20180605_0747",993
"20180605_0748",986
"20180605_0749",970
"20180605_0750",981
"20180605_0751",990
"20180605_0752",1074
"20180605_0753",1018
"20180605_0754",1016
"20180605_0755",989
"20180605_0756",1006
"20180605_0757",1001
"20180605_0758",975
"20180605_0759",1046
"20180605_0800",1146
"20180605_0801",1188
"20180605_0802",1100
"20180605_0803",1048
"20180605_0804",1128
"20180605_0805",1152
"20180605_0806",1129
"20180605_0807",1073
"20180605_0808",1100
"20180605_0809",1169
"20180605_0810",1113
"20180605_0811",1176
"20180605_0812",1163
"20180605_0813",1353
"20180605_0814",1367
"20180605_0815",1168
"20180605_0816",1208
"20180605_0817",1179
"20180605_0818",1229
"20180605_0819",1202
"20180605_0820",1269
"20180605_0821",1222
"20180605_0822",1293
"20180605_0823",1301
"20180605_0824",1276
"20180605_0825",1246
"20180605_0826",1439
"20180605_0827",1500
"20180605_0828",1386
"20180605_0829",1273
"20180605_0830",1376
"20180605_0831",1359
"20180605_0832",1336
"20180605_0833",1362
"20180605_0834",1414
"20180605_0835",1379
"20180605_0836",1390
"20180605_0837",1326
"20180605_0838",1434
"20180605_0839",1380
"20180605_0840",1434
"20180605_0841",1357
"20180605_0842",1434
"20180605_0843",1469
"20180605_0844",1501
"20180605_0845",1553
"20180605_0846",1516
"20180605_0847",1517
"20180605_0848",1518
"20180605_0849",1536
"20180605_0850",1583
"20180605_0851",1497
"20180605_0852",1552
"20180605_0853",1595
"20180605_0854",1682
"20180605_0855",1644
"20180605_0856",1620
"20180605_0857",1646
"20180605_0858",1668
"20180605_0859",1665
"20180605_0900",1655
"20180605_0901",1714
"20180605_0902",1720
"20180605_0903",1806
"20180605_0904",1753
"20180605_0905",1756
"20180605_0906",1767
"20180605_0907",1799
"20180605_0908",1766
"20180605_0909",1795
"20180605_0910",1815
"20180605_0911",1857
"20180605_0912",1900
"20180605_0913",1881
"20180605_0914",1849
"20180605_0915",1875
"20180605_0916",1886
"20180605_0917",1895
"20180605_0918",1931
"20180605_0919",1824
"20180605_0920",1931
"20180605_0921",1917
"20180605_0922",1933
"20180605_0923",1963
"20180605_0924",2004
"20180605_0925",2046
"20180605_0926",2053
"20180605_0927",2055
"20180605_0928",2009
"20180605_0929",2022
"20180605_0930",2033
"20180605_0931",2063
"20180605_0932",2090
"20180605_0933",2092
"20180605_0934",2169
"20180605_0935",2121
"20180605_0936",2090
"20180605_0937",2138
"20180605_0938",2077
"20180605_0939",2175
"20180605_0940",2178
"20180605_0941",2138
"20180605_0942",2224
"20180605_0943",2207
"20180605_0944",2229
"20180605_0945",2230
"20180605_0946",2246
"20180605_0947",2236
"20180605_0948",2364
"20180605_0949",2259
"20180605_0950",2296
"20180605_0951",2216
"20180605_0952",2350
"20180605_0953",2312
"20180605_0954",2167
"20180605_0955",2334
"20180605_0956",2316
"20180605_0957",2356
"20180605_0958",2296
"20180605_0959",2344
"20180605_1000",2412
"20180605_1001",2280
"20180605_1002",2346
"20180605_1003",2331
"20180605_1004",2398
"20180605_1005",2390
"20180605_1006",2423
"20180605_1007",2338
"20180605_1008",2487
"20180605_1009",2433
"20180605_1010",2382
"20180605_1011",2424
"20180605_1012",2474
"20180605_1013",2387
"20180605_1014",2403
"20180605_1015",2454
"20180605_1016",2448
"20180605_1017",2406
"20180605_1018",2433
"20180605_1019",2437
"20180605_1020",2419
"20180605_1021",2434
"20180605_1022",2425
"20180605_1023",2432
"20180605_1024",2411
"20180605_1025",2507
"20180605_1026",2501
"20180605_1027",2397
"20180605_1028",2420
"20180605_1029",2395
"20180605_1030",2485
"20180605_1031",2519
"20180605_1032",2536
"20180605_1033",2508
"20180605_1034",2520
"20180605_1035",2472
"20180605_1036",2528
"20180605_1037",2568
"20180605_1038",2489
"20180605_1039",2522
"20180605_1040",2639
"20180605_1041",2491
"20180605_1042",2501
"20180605_1043",2608
"20180605_1044",2558
"20180605_1045",2613
"20180605_1046",2556
"20180605_1047",2638
"20180605_1048",2586
"20180605_1049",2678
"20180605_1050",2461
"20180605_1051",2602
"20180605_1052",2698
"20180605_1053",2572
"20180605_1054",2561
"20180605_1055",2659
"20180605_1056",2586
"20180605_1057",2648
"20180605_1058",2736
"20180605_1059",2675
"20180605_1100",2569
"20180605_1101",2616
"20180605_1102",2772
"20180605_1103",2703
"20180605_1104",2767
"20180605_1105",2650
"20180605_1106",2773
"20180605_1107",2698
"20180605_1108",2826
"20180605_1109",2737
"20180605_1110",2910
"20180605_1111",2808
"20180605_1112",2904
"20180605_1113",2802
"20180605_1114",2832
"20180605_1115",2912
"20180605_1116",2873
"20180605_1117",2832
"20180605_1118",2898
"20180605_1119",2831
"20180605_1120",2930
"20180605_1121",2935
"20180605_1122",2872
"20180605_1123",2965
"20180605_1124",3027
"20180605_1125",3038
"20180605_1126",2933
"20180605_1127",3034
"20180605_1128",3153
"20180605_1129",3013
"20180605_1130",3091
"20180605_1131",3121
"20180605_1132",3176
"20180605_1133",3189
"20180605_1134",3199
"20180605_1135",3062
"20180605_1136",3307
"20180605_1137",3183
"20180605_1138",3302
"20180605_1139",3192
"20180605_1140",3260
"20180605_1141",3273
"20180605_1142",3341
"20180605_1143",3423
"20180605_1144",3333
"20180605_1145",3382
"20180605_1146",3474
"20180605_1147",3393
"20180605_1148",3455
"20180605_1149",3403
"20180605_1150",3404
"20180605_1151",3427
"20180605_1152",3583
"20180605_1153",3560
"20180605_1154",3438
"20180605_1155",3493
"20180605_1156",3569
"20180605_1157",3585
"20180605_1158",3559
"20180605_1159",3675
"20180605_1200",3470
"20180605_1201",3746
"20180605_1202",3694
"20180605_1203",3478
"20180605_1204",3719
"20180605_1205",3679
"20180605_1206",3469
"20180605_1207",3782
"20180605_1208",3161
"20180605_1209",4604
"20180605_1210",3849
"20180605_1211",3840
"20180605_1212",3458
"20180605_1213",4090
"20180605_1214",3824
"20180605_1215",3908
"20180605_1216",3867
"20180605_1217",3854
"20180605_1218",3760
"20180605_1219",3895
"20180605_1220",3928
"20180605_1221",3871
"20180605_1222",3916
"20180605_1223",3953
"20180605_1224",3857
"20180605_1225",3972
"20180605_1226",4035
"20180605_1227",4060
"20180605_1228",3831
"20180605_1229",3695
"20180605_1230",4186
"20180605_1231",3687
"20180605_1232",1990
"20180605_1233",853
"20180605_1234",805
"20180605_1235",842
"20180605_1236",805
"20180605_1237",873
"20180605_1238",861
"20180605_1239",2572
"20180605_1240",6792
"20180605_1241",5513
"20180605_1242",4557
"20180605_1243",4457
"20180605_1244",4258
"20180605_1245",4009
"20180605_1246",4192
"20180605_1247",4127
"20180605_1248",4023
"20180605_1249",4065
"20180605_1250",3827
"20180605_1251",3749
"20180605_1252",4053
"20180605_1253",3627
"20180605_1254",4242
"20180605_1255",3866
"20180605_1256",3933
"20180605_1257",3826
"20180605_1258",3726
"20180605_1259",3776
"20180605_1300",3818
"20180605_1301",3815
"20180605_1302",3718
"20180605_1303",3794
"20180605_1304",3888
"20180605_1305",3825
"20180605_1306",3682
"20180605_1307",3692
"20180605_1308",3755
"20180605_1309",3798
"20180605_1310",3629
"20180605_1311",3786
"20180605_1312",3785
"20180605_1313",3819
"20180605_1314",3581
"20180605_1315",3640
"20180605_1316",3536
"20180605_1317",3539
"20180605_1318",3398
"20180605_1319",3761
"20180605_1320",3586
"20180605_1321",3506
"20180605_1322",3472
"20180605_1323",3489
"20180605_1324",3458
"20180605_1325",3333
"20180605_1326",3503
"20180605_1327",3503
"20180605_1328",3447
"20180605_1329",3363
"20180605_1330",3369
"20180605_1331",3276
"20180605_1332",3379
"20180605_1333",3400
"20180605_1334",3330
"20180605_1335",3335
"20180605_1336",3358
"20180605_1337",3333
"20180605_1338",3299
"20180605_1339",3348
"20180605_1340",3165
"20180605_1341",3221
"20180605_1342",3166
"20180605_1343",3166
"20180605_1344",3289
"20180605_1345",3250
"20180605_1346",3181
"20180605_1347",3249
"20180605_1348",3177
"20180605_1349",3138
"20180605_1350",3131
"20180605_1351",3083
"20180605_1352",3222
"20180605_1353",3100
"20180605_1354",2995
"20180605_1355",3056
"20180605_1356",3175
"20180605_1357",3075
"20180605_1358",3037
"20180605_1359",2990
"20180605_1400",2981
"20180605_1401",3016
"20180605_1402",2925
"20180605_1403",2968
"20180605_1404",3014
"20180605_1405",2982
"20180605_1406",3033
"20180605_1407",3055
"20180605_1408",2887
"20180605_1409",2832
"20180605_1410",2915
"20180605_1411",2865
"20180605_1412",2903
"20180605_1413",3000
"20180605_1414",2883
"20180605_1415",2854
"20180605_1416",2770
"20180605_1417",2870
"20180605_1418",2890
"20180605_1419",2821
"20180605_1420",2741
"20180605_1421",2813
"20180605_1422",2815
"20180605_1423",2784
"20180605_1424",2673
"20180605_1425",2778
"20180605_1426",2709
"20180605_1427",2662
"20180605_1428",2811
"20180605_1429",2718
"20180605_1430",2753
"20180605_1431",2718
"20180605_1432",2789
"20180605_1433",2831
"20180605_1434",2801
"20180605_1435",2744
"20180605_1436",2720
"20180605_1437",2790
"20180605_1438",2893
"20180605_1439",2760
